Iteration 180: alp=1.953125e-03, f=3.646005e-03, gnorm=9.291563e-02
Iteration 181: alp=1.953125e-03, f=3.638539e-03, gnorm=8.030918e-02
Iteration 182: alp=3.906250e-03, f=3.635846e-03, gnorm=1.557379e-01
Iteration 183: alp=1.953125e-03, f=3.624961e-03, gnorm=1.257156e-01
Iteration 184: alp=1.953125e-03, f=3.615961e-03, gnorm=1.036600e-01
Iteration 185: alp=1.953125e-03, f=3.608083e-03, gnorm=8.781102e-02
Iteration 186: alp=1.953125e-03, f=3.600886e-03, gnorm=7.675004e-02
Iteration 187: alp=3.906250e-03, f=3.596754e-03, gnorm=1.444051e-01
Iteration 188: alp=1.953125e-03, f=3.586704e-03, gnorm=1.173950e-01
Iteration 189: alp=1.953125e-03, f=3.578214e-03, gnorm=9.763300e-02
Iteration 190: alp=1.953125e-03, f=3.570671e-03, gnorm=8.354344e-02
Iteration 191: alp=3.906250e-03, f=3.570043e-03, gnorm=1.676947e-01
Iteration 192: alp=1.953125e-03, f=3.558467e-03, gnorm=1.347823e-01
Iteration 193: alp=1.953125e-03, f=3.549073e-03, gnorm=1.103287e-01
Iteration 194: alp=1.953125e-03, f=3.541006e-03, gnorm=9.255305e-02
Iteration 195: alp=1.953125e-03, f=3.533737e-03, gnorm=7.995164e-02
Iteration 196: alp=3.906250e-03, f=3.531573e-03, gnorm=1.565262e-01
Iteration 197: alp=1.953125e-03, f=3.520855e-03, gnorm=1.264850e-01
Iteration 198: alp=1.953125e-03, f=3.512011e-03, gnorm=1.042814e-01
Iteration 199: alp=1.953125e-03, f=3.504290e-03, gnorm=8.820931e-02
Iteration 200: alp=1.953125e-03, f=3.497256e-03, gnorm=7.689664e-02
Iteration 201: alp=3.906250e-03, f=3.493884e-03, gnorm=1.469713e-01
Iteration 202: alp=1.953125e-03, f=3.483881e-03, gnorm=1.194415e-01
Iteration 203: alp=1.953125e-03, f=3.475478e-03, gnorm=9.914573e-02
Iteration 204: alp=1.953125e-03, f=3.468050e-03, gnorm=8.454311e-02
Iteration 205: alp=1.953125e-03, f=3.461214e-03, gnorm=7.431569e-02
Iteration 206: alp=3.906250e-03, f=3.456892e-03, gnorm=1.387385e-01
Iteration 207: alp=1.953125e-03, f=3.447464e-03, gnorm=1.133591e-01
Iteration 208: alp=1.953125e-03, f=3.439437e-03, gnorm=9.474091e-02
Iteration 209: alp=1.953125e-03, f=3.432256e-03, gnorm=8.139655e-02
Iteration 210: alp=3.906250e-03, f=3.431485e-03, gnorm=1.631862e-01
Iteration 211: alp=1.953125e-03, f=3.420522e-03, gnorm=1.316752e-01
Iteration 212: alp=1.953125e-03, f=3.411583e-03, gnorm=1.081795e-01
Iteration 213: alp=1.953125e-03, f=3.403865e-03, gnorm=9.098460e-02
Iteration 214: alp=1.953125e-03, f=3.396896e-03, gnorm=7.872481e-02
Iteration 215: alp=3.906250e-03, f=3.395062e-03, gnorm=1.550926e-01
Iteration 216: alp=1.953125e-03, f=3.384740e-03, gnorm=1.256816e-01
Iteration 217: alp=1.953125e-03, f=3.376195e-03, gnorm=1.037723e-01
Iteration 218: alp=1.953125e-03, f=3.368742e-03, gnorm=8.780662e-02
Iteration 219: alp=1.953125e-03, f=3.361955e-03, gnorm=7.645734e-02
Iteration 220: alp=3.906250e-03, f=3.359279e-03, gnorm=1.481188e-01
Iteration 221: alp=1.953125e-03, f=3.349473e-03, gnorm=1.204932e-01
Iteration 222: alp=1.953125e-03, f=3.341271e-03, gnorm=9.998372e-02
Iteration 223: alp=1.953125e-03, f=3.334044e-03, gnorm=8.506634e-02
Iteration 224: alp=1.953125e-03, f=3.327418e-03, gnorm=7.450641e-02
Iteration 225: alp=3.906250e-03, f=3.324074e-03, gnorm=1.421872e-01
Iteration 226: alp=1.953125e-03, f=3.314714e-03, gnorm=1.161185e-01
Iteration 227: alp=1.953125e-03, f=3.306794e-03, gnorm=9.677669e-02
Iteration 228: alp=1.953125e-03, f=3.299763e-03, gnorm=8.275668e-02
Iteration 229: alp=1.953125e-03, f=3.293277e-03, gnorm=7.285186e-02
Iteration 230: alp=3.906250e-03, f=3.289413e-03, gnorm=1.371181e-01
Iteration 231: alp=1.953125e-03, f=3.280415e-03, gnorm=1.123590e-01
Iteration 232: alp=1.953125e-03, f=3.272743e-03, gnorm=9.403880e-02
Iteration 233: alp=1.953125e-03, f=3.265881e-03, gnorm=8.077433e-02
Iteration 234: alp=1.953125e-03, f=3.259521e-03, gnorm=7.143118e-02
Iteration 235: alp=3.906250e-03, f=3.255255e-03, gnorm=1.328677e-01
Iteration 236: alp=1.953125e-03, f=3.246573e-03, gnorm=1.092364e-01
Iteration 237: alp=1.953125e-03, f=3.239106e-03, gnorm=9.175159e-02
Iteration 238: alp=1.953125e-03, f=3.232394e-03, gnorm=7.912270e-02
Iteration 239: alp=3.906250e-03, f=3.231859e-03, gnorm=1.595433e-01
Iteration 240: alp=1.953125e-03, f=3.221590e-03, gnorm=1.293757e-01
Iteration 241: alp=1.953125e-03, f=3.213161e-03, gnorm=1.066532e-01
Iteration 242: alp=1.953125e-03, f=3.205875e-03, gnorm=8.987198e-02
Iteration 243: alp=1.953125e-03, f=3.199290e-03, gnorm=7.775294e-02
Iteration 244: alp=3.906250e-03, f=3.198316e-03, gnorm=1.556290e-01
Iteration 245: alp=1.953125e-03, f=3.188367e-03, gnorm=1.264584e-01
Iteration 246: alp=1.953125e-03, f=3.180164e-03, gnorm=1.045191e-01
Iteration 247: alp=1.953125e-03, f=3.173029e-03, gnorm=8.830563e-02
Iteration 248: alp=1.953125e-03, f=3.166561e-03, gnorm=7.661274e-02
Iteration 249: alp=3.906250e-03, f=3.165268e-03, gnorm=1.525326e-01
Iteration 250: alp=1.953125e-03, f=3.155598e-03, gnorm=1.241937e-01
Iteration 251: alp=1.953125e-03, f=3.147571e-03, gnorm=1.028476e-01
Iteration 252: alp=1.953125e-03, f=3.140570e-03, gnorm=8.708773e-02
Iteration 253: alp=1.953125e-03, f=3.134201e-03, gnorm=7.571224e-02
Iteration 254: alp=3.906250e-03, f=3.132701e-03, gnorm=1.501286e-01
Iteration 255: alp=1.953125e-03, f=3.123242e-03, gnorm=1.224157e-01
Iteration 256: alp=1.953125e-03, f=3.115372e-03, gnorm=1.015572e-01
Iteration 257: alp=1.953125e-03, f=3.108481e-03, gnorm=8.613454e-02
Iteration 258: alp=1.953125e-03, f=3.102202e-03, gnorm=7.500575e-02
Iteration 259: alp=3.906250e-03, f=3.100591e-03, gnorm=1.484430e-01
Iteration 260: alp=1.953125e-03, f=3.091312e-03, gnorm=1.212131e-01
Iteration 261: alp=1.953125e-03, f=3.083560e-03, gnorm=1.006744e-01
Iteration 262: alp=1.953125e-03, f=3.076764e-03, gnorm=8.548918e-02
Iteration 263: alp=1.953125e-03, f=3.070562e-03, gnorm=7.451107e-02
Iteration 264: alp=3.906250e-03, f=3.068932e-03, gnorm=1.473797e-01
Iteration 265: alp=1.953125e-03, f=3.059775e-03, gnorm=1.204487e-01
Iteration 266: alp=1.953125e-03, f=3.052125e-03, gnorm=1.001367e-01
Iteration 267: alp=1.953125e-03, f=3.045407e-03, gnorm=8.508412e-02
Iteration 268: alp=1.953125e-03, f=3.039273e-03, gnorm=7.419365e-02
Iteration 269: alp=3.906250e-03, f=3.037709e-03, gnorm=1.469854e-01
Iteration 270: alp=1.953125e-03, f=3.028650e-03, gnorm=1.202236e-01
Iteration 271: alp=1.953125e-03, f=3.021066e-03, gnorm=9.998312e-02
Iteration 272: alp=1.953125e-03, f=3.014411e-03, gnorm=8.497124e-02
Iteration 273: alp=1.953125e-03, f=3.008334e-03, gnorm=7.407881e-02
Iteration 274: alp=3.906250e-03, f=3.006921e-03, gnorm=1.471873e-01
Iteration 275: alp=1.953125e-03, f=2.997906e-03, gnorm=1.204214e-01
Iteration 276: alp=1.953125e-03, f=2.990376e-03, gnorm=1.001657e-01
Iteration 277: alp=1.953125e-03, f=2.983766e-03, gnorm=8.509502e-02
Iteration 278: alp=1.953125e-03, f=2.977738e-03, gnorm=7.414071e-02
