Iteration 232: alp=9.765625e-04, f=6.995519e-03, gnorm=7.568900e-02
Iteration 233: alp=7.812500e-03, f=6.979502e-03, gnorm=2.376389e-01
Iteration 234: alp=9.765625e-04, f=6.952418e-03, gnorm=7.447246e-02
Iteration 235: alp=7.812500e-03, f=6.932443e-03, gnorm=2.161922e-01
Iteration 236: alp=1.953125e-03, f=6.932243e-03, gnorm=2.604712e-01
Iteration 237: alp=9.765625e-04, f=6.900223e-03, gnorm=7.514063e-02
Iteration 238: alp=7.812500e-03, f=6.884112e-03, gnorm=2.345116e-01
Iteration 239: alp=9.765625e-04, f=6.857663e-03, gnorm=7.382358e-02
Iteration 240: alp=7.812500e-03, f=6.837226e-03, gnorm=2.107915e-01
Iteration 241: alp=1.953125e-03, f=6.836561e-03, gnorm=2.534554e-01
Iteration 242: alp=9.765625e-04, f=6.806126e-03, gnorm=7.437816e-02
Iteration 243: alp=7.812500e-03, f=6.789085e-03, gnorm=2.272529e-01
Iteration 244: alp=9.765625e-04, f=6.764113e-03, gnorm=7.308062e-02
Iteration 245: alp=1.562500e-02, f=6.762589e-03, gnorm=4.128355e-01
Iteration 246: alp=9.765625e-04, f=6.686097e-03, gnorm=8.219465e-02
Iteration 247: alp=3.906250e-03, f=6.677555e-03, gnorm=1.704745e-01
Iteration 248: alp=1.953125e-03, f=6.673674e-03, gnorm=2.025815e-01
Iteration 249: alp=1.953125e-03, f=6.672379e-03, gnorm=2.427061e-01
Iteration 250: alp=9.765625e-04, f=6.644269e-03, gnorm=7.306898e-02
Iteration 251: alp=7.812500e-03, f=6.625699e-03, gnorm=2.145001e-01
Iteration 252: alp=1.953125e-03, f=6.625522e-03, gnorm=2.573217e-01
Iteration 253: alp=9.765625e-04, f=6.594223e-03, gnorm=7.336984e-02
Iteration 254: alp=7.812500e-03, f=6.577958e-03, gnorm=2.251018e-01
Iteration 255: alp=9.765625e-04, f=6.553422e-03, gnorm=7.186877e-02
Iteration 256: alp=1.562500e-02, f=6.549293e-03, gnorm=3.987018e-01
Iteration 257: alp=9.765625e-04, f=6.477612e-03, gnorm=7.987315e-02
Iteration 258: alp=3.906250e-03, f=6.468435e-03, gnorm=1.611630e-01
Iteration 259: alp=1.953125e-03, f=6.464087e-03, gnorm=1.904773e-01
Iteration 260: alp=1.953125e-03, f=6.461940e-03, gnorm=2.270020e-01
Iteration 261: alp=9.765625e-04, f=6.437044e-03, gnorm=7.132249e-02
Iteration 262: alp=1.562500e-02, f=6.433876e-03, gnorm=3.977129e-01
Iteration 263: alp=9.765625e-04, f=6.362488e-03, gnorm=7.908862e-02
Iteration 264: alp=3.906250e-03, f=6.353361e-03, gnorm=1.589549e-01
Iteration 265: alp=1.953125e-03, f=6.348978e-03, gnorm=1.874801e-01
Iteration 266: alp=1.953125e-03, f=6.346683e-03, gnorm=2.229555e-01
Iteration 267: alp=9.765625e-04, f=6.322594e-03, gnorm=7.056165e-02
Iteration 268: alp=1.562500e-02, f=6.316583e-03, gnorm=3.857298e-01
Iteration 269: alp=9.765625e-04, f=6.249245e-03, gnorm=7.769273e-02
Iteration 270: alp=3.906250e-03, f=6.239713e-03, gnorm=1.531256e-01
Iteration 271: alp=1.953125e-03, f=6.235067e-03, gnorm=1.799698e-01
Iteration 272: alp=1.953125e-03, f=6.232289e-03, gnorm=2.133363e-01
Iteration 273: alp=1.953125e-03, f=6.232221e-03, gnorm=2.545401e-01
Iteration 274: alp=9.765625e-04, f=6.201578e-03, gnorm=7.114063e-02
Iteration 275: alp=7.812500e-03, f=6.185597e-03, gnorm=2.150560e-01
Iteration 276: alp=9.765625e-04, f=6.163051e-03, gnorm=6.944725e-02
Iteration 277: alp=1.562500e-02, f=6.152522e-03, gnorm=3.668360e-01
Iteration 278: alp=9.765625e-04, f=6.091401e-03, gnorm=7.579297e-02
Iteration 279: alp=3.906250e-03, f=6.081377e-03, gnorm=1.452420e-01
Iteration 280: alp=1.953125e-03, f=6.076419e-03, gnorm=1.698209e-01
Iteration 281: alp=1.953125e-03, f=6.073042e-03, gnorm=2.003858e-01
Iteration 282: alp=1.953125e-03, f=6.071987e-03, gnorm=2.380378e-01
Iteration 283: alp=9.765625e-04, f=6.044890e-03, gnorm=6.959282e-02
Iteration 284: alp=7.812500e-03, f=6.026640e-03, gnorm=1.974568e-01
Iteration 285: alp=1.953125e-03, f=6.025367e-03, gnorm=2.343169e-01
Iteration 286: alp=9.765625e-04, f=5.999057e-03, gnorm=6.923224e-02
Iteration 287: alp=7.812500e-03, f=5.980526e-03, gnorm=1.943229e-01
Iteration 288: alp=1.953125e-03, f=5.979050e-03, gnorm=2.302932e-01
Iteration 289: alp=9.765625e-04, f=5.953549e-03, gnorm=6.880266e-02
Iteration 290: alp=1.562500e-02, f=5.951125e-03, gnorm=3.840554e-01
Iteration 291: alp=9.765625e-04, f=5.884205e-03, gnorm=7.525867e-02
Iteration 292: alp=3.906250e-03, f=5.874962e-03, gnorm=1.467190e-01
Iteration 293: alp=1.953125e-03, f=5.870308e-03, gnorm=1.713162e-01
Iteration 294: alp=1.953125e-03, f=5.867229e-03, gnorm=2.016980e-01
Iteration 295: alp=1.953125e-03, f=5.866404e-03, gnorm=2.389861e-01
Iteration 296: alp=9.765625e-04, f=5.839140e-03, gnorm=6.850159e-02
Iteration 297: alp=7.812500e-03, f=5.821571e-03, gnorm=1.946848e-01
Iteration 298: alp=1.953125e-03, f=5.820237e-03, gnorm=2.302279e-01
Iteration 299: alp=9.765625e-04, f=5.794764e-03, gnorm=6.790633e-02
Iteration 300: alp=1.562500e-02, f=5.791857e-03, gnorm=3.772855e-01
Iteration 301: alp=9.765625e-04, f=5.727138e-03, gnorm=7.387822e-02
Iteration 302: alp=3.906250e-03, f=5.717811e-03, gnorm=1.420662e-01
Iteration 303: alp=1.953125e-03, f=5.713059e-03, gnorm=1.652667e-01
Iteration 304: alp=1.953125e-03, f=5.709720e-03, gnorm=1.938654e-01
Iteration 305: alp=1.953125e-03, f=5.708390e-03, gnorm=2.288896e-01
Iteration 306: alp=9.765625e-04, f=5.683212e-03, gnorm=6.725352e-02
Iteration 307: alp=1.562500e-02, f=5.679809e-03, gnorm=3.721270e-01
Iteration 308: alp=9.765625e-04, f=5.616809e-03, gnorm=7.301394e-02
Iteration 309: alp=3.906250e-03, f=5.607510e-03, gnorm=1.394903e-01
Iteration 310: alp=1.953125e-03, f=5.602741e-03, gnorm=1.618784e-01
Iteration 311: alp=1.953125e-03, f=5.599282e-03, gnorm=1.894574e-01
Iteration 312: alp=1.953125e-03, f=5.597715e-03, gnorm=2.231325e-01
Iteration 313: alp=9.765625e-04, f=5.573679e-03, gnorm=6.640286e-02
Iteration 314: alp=1.562500e-02, f=5.566359e-03, gnorm=3.559957e-01
Iteration 315: alp=9.765625e-04, f=5.508431e-03, gnorm=7.138974e-02
Iteration 316: alp=3.906250e-03, f=5.498644e-03, gnorm=1.321739e-01
Iteration 317: alp=1.953125e-03, f=5.493610e-03, gnorm=1.526624e-01
Iteration 318: alp=1.953125e-03, f=5.489705e-03, gnorm=1.778889e-01
Iteration 319: alp=1.953125e-03, f=5.487395e-03, gnorm=2.087290e-01
Iteration 320: alp=1.953125e-03, f=5.487380e-03, gnorm=2.461480e-01
Iteration 321: alp=9.765625e-04, f=5.458595e-03, gnorm=6.651043e-02
Iteration 322: alp=7.812500e-03, f=5.442559e-03, gnorm=1.909778e-01
Iteration 323: alp=1.953125e-03, f=5.441205e-03, gnorm=2.244969e-01
Iteration 324: alp=9.765625e-04, f=5.416929e-03, gnorm=6.556340e-02
Iteration 325: alp=1.562500e-02, f=5.410545e-03, gnorm=3.534655e-01
Iteration 326: alp=9.765625e-04, f=5.353412e-03, gnorm=7.035398e-02
Iteration 327: alp=3.906250e-03, f=5.343819e-03, gnorm=1.297189e-01
Iteration 328: alp=1.953125e-03, f=5.338842e-03, gnorm=1.493938e-01
Iteration 329: alp=1.953125e-03, f=5.334902e-03, gnorm=1.735703e-01
Iteration 330: alp=1.953125e-03, f=5.332442e-03, gnorm=2.030097e-01
Iteration 331: alp=1.953125e-03, f=5.332056e-03, gnorm=2.386800e-01
Iteration 332: alp=9.765625e-04, f=5.304892e-03, gnorm=6.537004e-02
Iteration 333: alp=7.812500e-03, f=5.288398e-03, gnorm=1.828790e-01
Iteration 334: alp=1.953125e-03, f=5.286599e-03, gnorm=2.141586e-01
Iteration 335: alp=9.765625e-04, f=5.264329e-03, gnorm=6.431540e-02
Iteration 336: alp=1.562500e-02, f=5.252174e-03, gnorm=3.286008e-01
Iteration 337: alp=9.765625e-04, f=5.202442e-03, gnorm=6.813916e-02
Iteration 338: alp=7.812500e-03, f=5.198038e-03, gnorm=2.442434e-01
Iteration 339: alp=9.765625e-04, f=5.169679e-03, gnorm=6.470368e-02
Iteration 340: alp=7.812500e-03, f=5.153980e-03, gnorm=1.830207e-01
